"sample","BC1","BC2","BC3","BC4","BC5","BC6","BC7","BC12","BC9","BC10"
"ENSG00000013441.15",560,3566,2307,2059,1240,2256,2803,1055,1141,1290
"ENSG00000013503.9",218,271,163,313,315,200,376,152,192,124
"ENSG00000013523.9",280,611,407,568,196,598,729,361,680,203
"ENSG00000013561.17",572,3525,1595,4759,2454,3194,2364,1383,1132,938
"ENSG00000013563.13",31,304,161,346,98,248,240,116,113,61
"ENSG00000013573.16",594,1262,418,803,1042,518,1064,163,622,136
"ENSG00000013583.8",401,3955,14305,3894,528,2572,1595,919,3675,573
"ENSG00000013588.7",68,14709,39112,18401,6343,5392,8560,2363,5431,622
"ENSG00000013619.13",25,87,19,86,51,236,107,7,34,20
"ENSG00000013725.14",95,162,46,65,9,166,99,29,127,242
"ENSG00000013810.18",1158,2081,1400,1252,1912,1163,3025,660,766,402
"ENSG00000014123.9",340,960,958,1137,717,1376,996,1066,667,438
"ENSG00000014138.8",502,647,164,1051,310,709,1086,268,617,173
"ENSG00000014164.6",384,1069,895,1255,1937,389,308,99,963,54
"ENSG00000014216.15",1087,1586,1436,7417,1799,2893,5082,2144,2885,1080
"ENSG00000014257.15",1,16,2,28,88,15,55,18,30,50
"ENSG00000014641.17",2605,6409,3401,5202,2997,2078,5658,3455,1885,2359
"ENSG00000014824.13",1182,3814,1211,4360,1349,3052,3506,3594,1179,1000
"ENSG00000014914.20",165,86,53,419,476,769,148,169,54,51
"ENSG00000014919.12",1068,1152,820,1782,894,1080,1375,828,703,529
"ENSG00000015133.18",512,1103,884,724,597,555,1076,365,1048,721
"ENSG00000015153.14",142,748,260,513,258,550,580,407,230,1124
"ENSG00000015171.19",1330,2968,1801,5281,2077,2548,2045,1579,2965,676
"ENSG00000015285.10",104,141,64,139,120,178,102,41,74,99
"ENSG00000015413.9",0,19,6,34,7,49,38,15,11,12
"ENSG00000015475.18",800,527,283,586,641,344,593,326,758,508
"ENSG00000015479.18",50,68,39,66,26,132,146,11,40,21
"ENSG00000015520.14",2,125,338,30,21,12,40,23,3,13
"ENSG00000015532.9",166,1044,9593,1630,923,1134,3599,1862,1257,245
"ENSG00000015568.12",40,5,228,1,6,73,165,52,94,105
"ENSG00000015592.16",1,11,7,2,7,2,4,0,0,0
"ENSG00000015676.17",949,2699,1743,5417,1947,2414,1924,1371,2469,806
"ENSG00000016082.14",1,1,0,0,1,0,10,4,0,0
"ENSG00000016391.10",231,1223,1571,2986,321,635,175,710,435,26
"ENSG00000016402.13",22,65,26,743,470,558,209,377,1775,126
"ENSG00000016490.15",0,0,0,0,0,0,0,0,0,1
"ENSG00000016602.9",1,0,0,0,0,0,2,0,11,1
"ENSG00000016864.18",607,4999,1653,1657,1596,1924,930,743,263,412
"ENSG00000017260.19",2296,4584,1709,4705,4514,3781,3345,1912,2734,1700
"ENSG00000017427.15",11,10,9,17,6,29,27,7,13,25
"ENSG00000017483.14",80,93,14,149,384,282,809,95,11,74
"ENSG00000017797.12",1010,996,1291,4251,1091,1171,1899,1029,1352,472
"ENSG00000018189.12",290,506,522,1019,403,607,794,406,498,289
"ENSG00000018236.14",14,93,12,440,275,1288,199,364,57,286
"ENSG00000018280.16",51,91,62,168,155,145,150,71,45,59
"ENSG00000018408.14",605,411,291,1540,718,1218,1129,905,1089,953
"ENSG00000018510.13",705,2145,1493,1492,500,736,1400,866,537,460
"ENSG00000018607.6",0,0,0,0,0,1,5,0,1,1
"ENSG00000018610.13",283,719,468,1009,435,685,1114,360,187,246
"ENSG00000018625.14",1,27,21,34,0,11,303,5,12,10
"ENSG00000018699.11",276,794,492,839,545,289,776,361,407,296
"ENSG00000018869.16",68,141,5,46,114,143,55,29,13,26
"ENSG00000019102.11",4,23,26,9,27,4,27,143,11,51
"ENSG00000019144.18",181,521,285,1482,458,982,1333,423,662,340
"ENSG00000019169.10",183,20,10,9,59,0,12,4,3,4
"ENSG00000019186.9",2,0,2,0,0,4587,25,2,3,7
"ENSG00000019485.13",42,166,256,257,77,181,291,94,492,40
"ENSG00000019505.7",29,100,3439,50,676,15,517,6,1450,10
"ENSG00000019549.9",81,160,122,419,244,529,286,362,158,166
"ENSG00000019582.14",16295,15941,11411,34557,17684,24611,11321,9159,11283,11047
"ENSG00000019991.15",34,57,42,60,21,105,103,56,86,82
"ENSG00000019995.6",132,164,185,656,124,520,393,159,435,94
"ENSG00000020129.15",142,708,1361,1950,383,787,713,180,1668,192
